127.0.0.1 - - [01/May/2020:08:22:40 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:57 +0700] "GET /KhoSach/ HTTP/1.1" 200 73592
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:58 +0700] "GET /KhoSach/css/css.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:58 +0700] "GET /KhoSach/css/meanmenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:58 +0700] "GET /KhoSach/css/styleheader1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:58 +0700] "GET /KhoSach/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:58 +0700] "GET /KhoSach/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:58 +0700] "GET /KhoSach/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:58 +0700] "GET /KhoSach/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:58 +0700] "GET /KhoSach/css/dangnhap.css HTTP/1.1" 200 8074
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:58 +0700] "GET /KhoSach/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/js/plugin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/js/jquery.elevateZoom-3.0.8.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/js/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/js/main.js HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/js/doimatkhau.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/js/TangSLGioHang.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/js/checkDangNhap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/js/huydonhang.js HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/js/validateregister.js HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/js/pagination.js HTTP/1.1" 200 11802
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/image/menu_Sach_trong_nuoc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/image/888x455px_3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/js/binhluan.js HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/image/888x455px_4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/image/888x455px_5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:22:59 +0700] "GET /KhoSach/image/888x455px_6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/888x455px_7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/888x455px_8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/_Ngang-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/chien-tranh-tien-te-phan1-bia-truoc_taiban_.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/1__2__zgh7-1n.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image_195509_1_27259_5i36-bd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image_195509_1_33759.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/L%E1%BB%A3i_Th%E1%BA%BF_B%C3%A1n_H%C3%A0ng.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image_195509_1_33478.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image_195509_1_29309.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/t_ng-h_p-ch_ng-tr_nh-l_n-trong-n_m.xlsx.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/D%E1%BA%A1y_Con_L%C3%A0m_Gi%C3%A0u__T%E1%BA%ADp_2__-_S%E1%BB%AD_D%E1%BB%A5ng_%C4%90%E1%BB%93ng_V%E1%BB%91n__T%C3%A1i_B%E1%BA%A3n_2019__fkfy-gv.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image_195509_1_34382.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image_195509_1_35062.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/netflix.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/Th%E1%BA%A7n_%C4%90%E1%BB%93ng_%C4%90%E1%BA%A5t_Vi%E1%BB%87t_-_T%E1%BA%ADp_152_-_Th%E1%BB%A9c_U%E1%BB%91ng_N%E1%BB%95_B%C3%B9m.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/_Ngang-2__1_.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/Th%E1%BA%A7n_%C4%90%E1%BB%93ng_%C4%90%E1%BA%A5t_Vi%E1%BB%87t_-_T%E1%BA%ADp_143_-_Th%E1%BA%A7n_D%C6%B0%E1%BB%A3c_T%C3%AD_Hon.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/Th%E1%BA%A7n_%C4%90%E1%BB%93ng_%C4%90%E1%BA%A5t_Vi%E1%BB%87t_-_T%E1%BA%ADp_122_-_B%E1%BB%AFa_Ti%E1%BB%87c_Gi%C3%A1ng_Sinh.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/1__25__od9w-wg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/1__23__ba84-r7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/_doc-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/Th%E1%BA%A7n_%C4%90%E1%BB%93ng_%C4%90%E1%BA%A5t_Vi%E1%BB%87t_-_T%E1%BA%ADp_153_-_Ch%E1%BA%BFt_Nh%C6%B0_Con_R%E1%BA%BFt.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/Th%E1%BA%A7n_%C4%90%E1%BB%93ng_%C4%90%E1%BA%A5t_Vi%E1%BB%87t_-_T%E1%BA%ADp_151_-_K%E1%BA%BB_C%E1%BA%AFp_N%E1%BB%A5_C%C6%B0%E1%BB%9Di.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image__36__zhya-t0.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image__36__q8oa-sb.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image__48__ox3u-r8.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image_190890.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image__64__y0ab-66.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image__77__z68o-f4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image_190891.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/_doc-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image_195509_1_34205.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/%C4%90%E1%BB%ABng_L%E1%BB%B1a_Ch%E1%BB%8Dn_An_Nh%C3%A0n_Khi_C%C3%B2n_Tr%E1%BA%BB__T%C3%A1i_B%E1%BA%A3n_2019__d4ny-vk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/_doc-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/%C4%90%E1%BB%ABng_T%E1%BB%A7i_Th%C3%A2n.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/%C4%90%C3%A1nh_Th%E1%BB%A9c_Ch%C3%ADnh_M%C3%ACnh_-_Vi%E1%BB%85n_Chinh_S%E1%BB%91_Ph%E1%BA%ADn.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image_195509_1_602.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image_195509_1_18128.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image_195509_1_32561.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/image_195509_1_35063.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/image/4a.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/img/3.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/images/product-1.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/images/ft-img-2.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/img/2.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/img/1.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:00 +0700] "GET /KhoSach/images/ft-left.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [01/May/2020:08:23:07 +0700] "GET /KhoSach/Chitietsanpham?maSach=66 HTTP/1.1" 200 46368
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:04 +0700] "GET /KhoSach/Chitietsanpham?maSach=66 HTTP/1.1" 200 46368
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:04 +0700] "GET /KhoSach/images/ft-img-2.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:04 +0700] "GET /KhoSach/images/product-1.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:04 +0700] "GET /KhoSach/img/1.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:04 +0700] "GET /KhoSach/img/2.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:04 +0700] "GET /KhoSach/img/3.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:04 +0700] "GET /KhoSach/css/styleheader2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:04 +0700] "GET /KhoSach/images/ft-left.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:07 +0700] "GET /KhoSach/ThemSachGioHangServlet?sL=3&mS=66&tS=M%E1%BB%99t+%C4%91%E1%BB%9Di+qu%E1%BA%A3n+tr%E1%BB%8B&sLM=17&anh=image_195509_1_27259_5i36-bd.jpg&gia=55000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:07 +0700] "GET /KhoSach/Giohang HTTP/1.1" 200 42567
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:07 +0700] "GET /KhoSach/images/ft-img-2.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:07 +0700] "GET /KhoSach/images/product-1.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:07 +0700] "GET /KhoSach/img/2.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:07 +0700] "GET /KhoSach/img/3.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:07 +0700] "GET /KhoSach/img/1.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:07 +0700] "GET /KhoSach/images/ft-left.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:08 +0700] "GET /KhoSach HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:09 +0700] "GET /KhoSach/ HTTP/1.1" 200 73592
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:09 +0700] "GET /KhoSach/images/ft-img-2.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:09 +0700] "GET /KhoSach/images/product-1.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:09 +0700] "GET /KhoSach/img/1.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:09 +0700] "GET /KhoSach/img/2.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:09 +0700] "GET /KhoSach/img/3.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:09 +0700] "GET /KhoSach/images/ft-left.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:11 +0700] "GET /KhoSach/Chitietsanpham?maSach=66 HTTP/1.1" 200 46368
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:11 +0700] "GET /KhoSach/images/ft-img-2.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:11 +0700] "GET /KhoSach/img/2.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:11 +0700] "GET /KhoSach/img/1.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:11 +0700] "GET /KhoSach/img/3.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:11 +0700] "GET /KhoSach/images/product-1.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:11 +0700] "GET /KhoSach/images/ft-left.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:13 +0700] "GET /KhoSach/ThemSachGioHangServlet?sL=3&mS=66&tS=M%E1%BB%99t+%C4%91%E1%BB%9Di+qu%E1%BA%A3n+tr%E1%BB%8B&sLM=17&anh=image_195509_1_27259_5i36-bd.jpg&gia=55000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:13 +0700] "GET /KhoSach/Giohang HTTP/1.1" 200 42567
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:14 +0700] "GET /KhoSach/images/ft-img-2.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:14 +0700] "GET /KhoSach/images/product-1.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:14 +0700] "GET /KhoSach/img/1.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:14 +0700] "GET /KhoSach/img/2.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:14 +0700] "GET /KhoSach/img/3.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:14 +0700] "GET /KhoSach/images/ft-left.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:19 +0700] "GET /design/themes/nhanvan/media/images/bg-left-login.png?1587092504 HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:23 +0700] "GET /KhoSach HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:24 +0700] "GET /KhoSach/ HTTP/1.1" 200 73592
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:24 +0700] "GET /KhoSach/images/ft-img-2.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:24 +0700] "GET /KhoSach/images/product-1.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:24 +0700] "GET /KhoSach/img/1.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:24 +0700] "GET /KhoSach/img/2.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:24 +0700] "GET /KhoSach/img/3.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:24 +0700] "GET /KhoSach/images/ft-left.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:26 +0700] "GET /KhoSach/Chitietsanpham?maSach=72 HTTP/1.1" 200 48392
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:26 +0700] "GET /KhoSach/images/ft-img-2.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:26 +0700] "GET /KhoSach/img/2.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:26 +0700] "GET /KhoSach/images/product-1.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:26 +0700] "GET /KhoSach/img/1.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:26 +0700] "GET /KhoSach/img/3.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:26 +0700] "GET /KhoSach/images/ft-left.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:36 +0700] "GET /KhoSach/Chitietsanpham?maSach=72 HTTP/1.1" 200 48392
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:36 +0700] "GET /KhoSach/images/ft-img-2.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:36 +0700] "GET /KhoSach/images/product-1.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:36 +0700] "GET /KhoSach/img/1.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:36 +0700] "GET /KhoSach/img/2.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:36 +0700] "GET /KhoSach/img/3.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:36 +0700] "GET /KhoSach/images/ft-left.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:43 +0700] "GET /KhoSach/ThemSachGioHangServlet?sL=1000&mS=72&tS=Ti%E1%BB%81n+%C4%91%E1%BA%A5u+v%E1%BB%9Bi+v%C3%A0ng&sLM=20&anh=t_ng-h_p-ch_ng-tr_nh-l_n-trong-n_m.xlsx.jpg&gia=45000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:43 +0700] "GET /KhoSach/Giohang HTTP/1.1" 200 44120
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:43 +0700] "GET /KhoSach/images/product-1.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:43 +0700] "GET /KhoSach/images/ft-img-2.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:43 +0700] "GET /KhoSach/img/1.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:43 +0700] "GET /KhoSach/img/2.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:43 +0700] "GET /KhoSach/img/3.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:43 +0700] "GET /KhoSach/images/ft-left.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:47 +0700] "GET /KhoSach HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:48 +0700] "GET /KhoSach/ HTTP/1.1" 200 73593
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:48 +0700] "GET /KhoSach/images/ft-img-2.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:48 +0700] "GET /KhoSach/images/product-1.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:48 +0700] "GET /KhoSach/img/1.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:48 +0700] "GET /KhoSach/img/2.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:48 +0700] "GET /KhoSach/img/3.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:48 +0700] "GET /KhoSach/images/ft-left.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:50 +0700] "GET /KhoSach/Chitietsanpham?maSach=68 HTTP/1.1" 200 45698
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:50 +0700] "GET /KhoSach/images/product-1.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:50 +0700] "GET /KhoSach/images/ft-img-2.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:50 +0700] "GET /KhoSach/img/2.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:50 +0700] "GET /KhoSach/img/1.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:50 +0700] "GET /KhoSach/img/3.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:50 +0700] "GET /KhoSach/images/ft-left.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:53 +0700] "GET /KhoSach/ThemSachGioHangServlet?sL=1&mS=68&tS=L%E1%BB%A3i+th%E1%BA%BF+b%C3%A1n+h%C3%A0ng&sLM=20&anh=L%E1%BB%A3i_Th%E1%BA%BF_B%C3%A1n_H%C3%A0ng.jpeg&gia=45000 HTTP/1.1" 302 -
